model_type,policy,oracle_non_deployable,repetition,query_budget,total,positive,negative,auroc,macro_f1,accuracy,sensitivity,specificity,brier,ece,tp,tn,fp,fn,threshold,query_precision,mean_errors_corrected,mean_concepts_queried,diagnosis_change_rate,diagnosis_improvement_rate,diagnosis_harm_rate,queries,errors_corrected,originally_wrong,originally_right,diagnoses_improved,diagnoses_harmed
hard,random_error_oracle,1,2,3,658,198,460,0.8961242863416775,0.7732622624239487,0.8054711246200608,0.7121212121212122,0.8456521739130435,0.12395085021087303,0.08888220618723697,141,389,71,57,0.5,1.0,1.3632218844984803,1.3632218844984803,0.196048632218845,0.5037593984962406,0.1180952380952381,897,897,133,525,67,62
hard,random_error_oracle,1,2,4,658,198,460,0.9037604303908651,0.792077723148773,0.8206686930091185,0.7474747474747475,0.8521739130434782,0.11953181263115785,0.07945503323938845,148,392,68,50,0.5,1.0,1.4437689969604863,1.4437689969604863,0.21124620060790272,0.5789473684210527,0.1180952380952381,950,950,133,525,77,62
hard,random_error_oracle,1,2,5,658,198,460,0.904732103645147,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.118738202991961,0.08924777437309125,147,392,68,51,0.5,1.0,1.4635258358662615,1.4635258358662615,0.21580547112462006,0.5864661654135338,0.1219047619047619,963,963,133,525,78,64
hard,random_error_oracle,1,2,6,658,198,460,0.903425559947299,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11947267139077097,0.08721972865766618,147,392,68,51,0.5,1.0,1.4680851063829787,1.4680851063829787,0.21580547112462006,0.5864661654135338,0.1219047619047619,966,966,133,525,78,64
hard,random_error_oracle,1,2,7,658,198,460,0.902849143610013,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11987083060948461,0.08696343081317791,147,392,68,51,0.5,1.0,1.4696048632218845,1.4696048632218845,0.21580547112462006,0.5864661654135338,0.1219047619047619,967,967,133,525,78,64
hard,random_error_oracle,1,3,0,658,198,460,0.8401570048309178,0.7503843466107617,0.7978723404255319,0.601010101010101,0.8826086956521739,0.13351674514795986,0.04525037642258839,119,406,54,79,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,133,525,0,0
hard,random_error_oracle,1,3,1,658,198,460,0.8743192797540623,0.7706293303372082,0.8161094224924013,0.6161616161616161,0.9021739130434783,0.1271928049381996,0.051393825537245794,122,415,45,76,0.5,1.0,0.7112462006079028,0.7112462006079028,0.1094224924012158,0.3157894736842105,0.05714285714285714,468,468,133,525,42,30
hard,random_error_oracle,1,3,2,658,198,460,0.8887406675450154,0.7644110275689222,0.8009118541033434,0.6767676767676768,0.8543478260869565,0.12558066339456486,0.0666268341841726,134,393,67,64,0.5,1.0,1.1443768996960486,1.1443768996960486,0.14893617021276595,0.37593984962406013,0.09142857142857143,753,753,133,525,50,48
hard,random_error_oracle,1,3,3,658,198,460,0.9033596837944664,0.7868618813164032,0.817629179331307,0.7272727272727273,0.8565217391304348,0.1193528388458974,0.0890932612414756,144,394,66,54,0.5,1.0,1.3632218844984803,1.3632218844984803,0.19908814589665655,0.5413533834586466,0.11238095238095239,897,897,133,525,72,59
hard,random_error_oracle,1,3,4,658,198,460,0.9032938076416337,0.7915306297791906,0.8206686930091185,0.7424242424242424,0.8543478260869565,0.11973620653678248,0.08198883610335321,147,393,67,51,0.5,1.0,1.4437689969604863,1.4437689969604863,0.20820668693009117,0.5714285714285714,0.11619047619047619,950,950,133,525,76,61
hard,random_error_oracle,1,3,5,658,198,460,0.9047540623627579,0.792077723148773,0.8206686930091185,0.7474747474747475,0.8521739130434782,0.11883943049515244,0.08598073959030035,148,392,68,50,0.5,1.0,1.4635258358662615,1.4635258358662615,0.21428571428571427,0.5864661654135338,0.12,963,963,133,525,78,63
hard,random_error_oracle,1,3,6,658,198,460,0.9030742204655247,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.1196958841894916,0.08947480524571556,147,392,68,51,0.5,1.0,1.4680851063829787,1.4680851063829787,0.21580547112462006,0.5864661654135338,0.1219047619047619,966,966,133,525,78,64
hard,random_error_oracle,1,3,7,658,198,460,0.902849143610013,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11987083060948461,0.08696343081317791,147,392,68,51,0.5,1.0,1.4696048632218845,1.4696048632218845,0.21580547112462006,0.5864661654135338,0.1219047619047619,967,967,133,525,78,64
hard,random_error_oracle,1,4,0,658,198,460,0.8401570048309178,0.7503843466107617,0.7978723404255319,0.601010101010101,0.8826086956521739,0.13351674514795986,0.04525037642258839,119,406,54,79,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,133,525,0,0
hard,random_error_oracle,1,4,1,658,198,460,0.8739898989898989,0.7827341558445288,0.8252279635258358,0.6363636363636364,0.9065217391304348,0.12695764995629472,0.05473953642334284,126,417,43,72,0.5,1.0,0.7112462006079028,0.7112462006079028,0.1094224924012158,0.3383458646616541,0.05142857142857143,468,468,133,525,45,27
hard,random_error_oracle,1,4,2,658,198,460,0.8909584980237153,0.7758336399438561,0.8100303951367781,0.696969696969697,0.8586956521739131,0.12467232098688422,0.061994944790819295,138,395,65,60,0.5,1.0,1.1443768996960486,1.1443768996960486,0.16717325227963525,0.44360902255639095,0.09714285714285714,753,753,133,525,59,51
hard,random_error_oracle,1,4,3,658,198,460,0.9034639877031181,0.7847946956857847,0.8161094224924013,0.7222222222222222,0.8565217391304348,0.11930381951516247,0.08674186266098809,143,394,66,55,0.5,1.0,1.3632218844984803,1.3632218844984803,0.19756838905775076,0.5338345864661654,0.11238095238095239,897,897,133,525,71,59
hard,random_error_oracle,1,4,4,658,198,460,0.9049242424242424,0.7894852871987204,0.8191489361702128,0.7373737373737373,0.8543478260869565,0.11870260103019278,0.08423077995184551,146,393,67,52,0.5,1.0,1.4437689969604863,1.4437689969604863,0.20972644376899696,0.5714285714285714,0.1180952380952381,950,950,133,525,76,62
hard,random_error_oracle,1,4,5,658,198,460,0.9029808959156784,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11968563944339172,0.08531924990371101,147,392,68,51,0.5,1.0,1.4635258358662615,1.4635258358662615,0.21580547112462006,0.5864661654135338,0.1219047619047619,963,963,133,525,78,64
hard,random_error_oracle,1,4,6,658,198,460,0.9028162055335966,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11991755871682708,0.08693657277883937,147,392,68,51,0.5,1.0,1.4680851063829787,1.4680851063829787,0.21580547112462006,0.5864661654135338,0.1219047619047619,966,966,133,525,78,64
hard,random_error_oracle,1,4,7,658,198,460,0.902849143610013,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11987083060948461,0.08696343081317791,147,392,68,51,0.5,1.0,1.4696048632218845,1.4696048632218845,0.21580547112462006,0.5864661654135338,0.1219047619047619,967,967,133,525,78,64
hard,random_error_oracle,1,5,0,658,198,460,0.8401570048309178,0.7503843466107617,0.7978723404255319,0.601010101010101,0.8826086956521739,0.13351674514795986,0.04525037642258839,119,406,54,79,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,133,525,0,0
hard,random_error_oracle,1,5,1,658,198,460,0.8590030742204654,0.7771919661721782,0.8161094224924013,0.6616161616161617,0.8826086956521739,0.13232022343280292,0.06006646703074879,131,406,54,67,0.5,1.0,0.7112462006079028,0.7112462006079028,0.1033434650455927,0.3007518796992481,0.05333333333333334,468,468,133,525,40,28
hard,random_error_oracle,1,5,2,658,198,460,0.8840579710144927,0.7645264653093584,0.8024316109422492,0.6666666666666666,0.8608695652173913,0.12701227771959697,0.0567748261904936,132,396,64,66,0.5,1.0,1.1443768996960486,1.1443768996960486,0.15653495440729484,0.39849624060150374,0.09523809523809523,753,753,133,525,53,50
hard,random_error_oracle,1,5,3,658,198,460,0.8962395696091349,0.7728808307898865,0.8069908814589666,0.696969696969697,0.8543478260869565,0.1228325193686513,0.0856483355110183,138,393,67,60,0.5,1.0,1.3632218844984803,1.3632218844984803,0.2006079027355623,0.518796992481203,0.12,897,897,133,525,69,63
hard,random_error_oracle,1,5,4,658,198,460,0.9054402722880984,0.7950640089354756,0.8237082066869301,0.7474747474747475,0.8565217391304348,0.11846576021785525,0.08118748758039675,148,394,66,50,0.5,1.0,1.4437689969604863,1.4437689969604863,0.21124620060790272,0.5864661654135338,0.11619047619047619,950,950,133,525,78,61
hard,random_error_oracle,1,5,5,658,198,460,0.9042764602547211,0.792077723148773,0.8206686930091185,0.7474747474747475,0.8521739130434782,0.11913541088998034,0.08593502453693816,148,392,68,50,0.5,1.0,1.4635258358662615,1.4635258358662615,0.21428571428571427,0.5864661654135338,0.12,963,963,133,525,78,63
hard,random_error_oracle,1,5,6,658,198,460,0.9037659200702677,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11935838593906917,0.08730577130177206,147,392,68,51,0.5,1.0,1.4680851063829787,1.4680851063829787,0.21580547112462006,0.5864661654135338,0.1219047619047619,966,966,133,525,78,64
hard,random_error_oracle,1,5,7,658,198,460,0.902849143610013,0.7900407305216135,0.8191489361702128,0.7424242424242424,0.8521739130434782,0.11987083060948461,0.08696343081317791,147,392,68,51,0.5,1.0,1.4696048632218845,1.4696048632218845,0.21580547112462006,0.5864661654135338,0.1219047619047619,967,967,133,525,78,64
hard,random_error_oracle,1,6,0,658,198,460,0.8401570048309178,0.7503843466107617,0.7978723404255319,0.601010101010101,0.8826086956521739,0.13351674514795986,0.04525037642258839,119,406,54,79,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,133,525,0,0
