model_type,policy,oracle_non_deployable,query_budget,repetitions,auroc_mean,auroc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,brier_mean,brier_sd,ece_mean,ece_sd,query_precision_mean,query_precision_sd,mean_errors_corrected_mean,mean_errors_corrected_sd,mean_concepts_queried_mean,mean_concepts_queried_sd,diagnosis_change_rate_mean,diagnosis_change_rate_sd,diagnosis_improvement_rate_mean,diagnosis_improvement_rate_sd,diagnosis_harm_rate_mean,diagnosis_harm_rate_sd
hard,random_error_oracle,1,7,100,0.9028491436100127,3.3474483693592255e-16,0.7900407305216133,2.2316322462394835e-16,0.8191489361702128,0.0,0.7424242424242427,2.2316322462394835e-16,0.8521739130434777,5.579080615598709e-16,0.11987083060948463,1.3947701538996772e-17,0.08696343081317791,0.0,1.0,0.0,1.469604863221885,4.463264492478967e-16,1.469604863221885,4.463264492478967e-16,0.21580547112462015,8.368620923398064e-17,0.5864661654135339,1.1158161231197418e-16,0.12190476190476195,4.184310461699032e-17
hard,confidently_wrong_oracle,1,0,1,0.8401570048309178,0.0,0.7503843466107617,0.0,0.7978723404255319,0.0,0.601010101010101,0.0,0.8826086956521739,0.0,0.13351674514795986,0.0,0.04525037642258839,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard,confidently_wrong_oracle,1,1,1,0.8559233640755379,0.0,0.7624608564976115,0.0,0.8039513677811551,0.0,0.6414141414141414,0.0,0.8739130434782608,0.0,0.13660694902218604,0.0,0.0661360981727875,0.0,1.0,0.0,0.7112462006079028,0.0,0.7112462006079028,0.0,0.11854103343465046,0.0,0.3082706766917293,0.0,0.07047619047619047,0.0
hard,confidently_wrong_oracle,1,2,1,0.8820377689942908,0.0,0.7650736546611614,0.0,0.8009118541033434,0.0,0.6818181818181818,0.0,0.8521739130434782,0.0,0.1294982883677488,0.0,0.05985992620538358,0.0,1.0,0.0,1.1443768996960486,0.0,1.1443768996960486,0.0,0.1641337386018237,0.0,0.41353383458646614,0.0,0.10095238095238095,0.0
hard,confidently_wrong_oracle,1,3,1,0.8961517347386913,0.0,0.7764575106199669,0.0,0.8100303951367781,0.0,0.702020202020202,0.0,0.8565217391304348,0.0,0.12298255053685998,0.0,0.07762520882536515,0.0,1.0,0.0,1.3632218844984803,0.0,1.3632218844984803,0.0,0.19148936170212766,0.0,0.5037593984962406,0.0,0.11238095238095239,0.0
hard,confidently_wrong_oracle,1,4,1,0.9053359683794466,0.0,0.7930233495987418,0.0,0.8221884498480243,0.0,0.7424242424242424,0.0,0.8565217391304348,0.0,0.11842433320660159,0.0,0.08298487770974501,0.0,1.0,0.0,1.4437689969604863,0.0,1.4437689969604863,0.0,0.2066869300911854,0.0,0.5714285714285714,0.0,0.11428571428571428,0.0
hard,confidently_wrong_oracle,1,5,1,0.9047101449275361,0.0,0.792077723148773,0.0,0.8206686930091185,0.0,0.7474747474747475,0.0,0.8521739130434782,0.0,0.11882467906925999,0.0,0.0886816947921126,0.0,1.0,0.0,1.4635258358662615,0.0,1.4635258358662615,0.0,0.21428571428571427,0.0,0.5864661654135338,0.0,0.12,0.0
hard,confidently_wrong_oracle,1,6,1,0.9030742204655247,0.0,0.7900407305216135,0.0,0.8191489361702128,0.0,0.7424242424242424,0.0,0.8521739130434782,0.0,0.1196958841894916,0.0,0.08947480524571556,0.0,1.0,0.0,1.4680851063829787,0.0,1.4680851063829787,0.0,0.21580547112462006,0.0,0.5864661654135338,0.0,0.1219047619047619,0.0
hard,confidently_wrong_oracle,1,7,1,0.902849143610013,0.0,0.7900407305216135,0.0,0.8191489361702128,0.0,0.7424242424242424,0.0,0.8521739130434782,0.0,0.11987083060948461,0.0,0.08696343081317791,0.0,1.0,0.0,1.4696048632218845,0.0,1.4696048632218845,0.0,0.21580547112462006,0.0,0.5864661654135338,0.0,0.1219047619047619,0.0
hard,active,0,0,1,0.8401570048309178,0.0,0.7503843466107617,0.0,0.7978723404255319,0.0,0.601010101010101,0.0,0.8826086956521739,0.0,0.13351674514795986,0.0,0.04525037642258839,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
